,"全部事件 (类型+操作+标签)","事件总数","唯一访客事件数","事件价值","平均价值",
191,"A_english_entrance+scroll+_2018/10/24 0:22:49_13%_34","1","1","0","0",
192,"A_english_entrance+scroll+_2018/10/25 0:34:0_10%_22","1","1","0","0",
193,"A_english_entrance+scroll+_2018/10/28 0:10:50_77%_71","1","1","0","0",
194,"A_english_entrance+scroll+_2018/10/23 0:10:22_26%_36","1","1","0","0",
195,"A_english_entrance+scroll+_2018/10/22 0:19:44_14%_4","1","1","0","0",
196,"A_english_entrance+scroll+_2018/10/31 0:14:23_86%_133","1","1","0","0",
197,"A_english_entrance+scroll+_2018/10/22 0:4:27_49%_20","1","1","0","0",
198,"A_english_entrance+scroll+_2018/10/24 0:25:33_30%_19","1","1","0","0",
199,"A_english_entrance+scroll+_2018/10/26 0:2:3_48%_95","1","1","0","0",
200,"A_english_entrance+scroll+_2018/10/29 0:45:37_100%_183","1","1","0","0",
201,"A_english_entrance+scroll+_2018/10/26 0:14:34_84%_263","1","1","0","0",
202,"A_english_entrance+scroll+_2018/10/28 0:20:57_34%_56","1","1","0","0",
203,"A_english_entrance+scroll+_2018/10/27 0:13:27_18%_59","1","1","0","0",
204,"A_english_entrance+scroll+_2018/10/30 0:37:55_76%_113","1","1","0","0",
205,"A_english_entrance+scroll+_2018/10/25 0:23:26_14%_21","1","1","0","0",
206,"A_english_entrance+scroll+_2018/10/27 0:35:28_60%_105","1","1","0","0",
207,"A_english_entrance+scroll+_2018/10/27 0:29:2_32%_34","1","1","0","0",
208,"ENGLISH+UID：2619735130114614520+http:/english/user/get_base_user_info-e-20257-timeout of 10000ms exceeded","1","1","0","0",
209,"A_english_entrance+scroll+_2018/10/31 0:17:29_27%_24","1","1","0","0",
210,"A_english_entrance+scroll+_2018/10/29 0:22:34_2%_13","1","1","0","0",
211,"A_english_entrance+scroll+_2018/10/25 1:1:56_502%_5","1","1","0","0",
212,"A_english_entrance+scroll+_2018/10/29 0:2:55_94%_52","1","1","0","0",
213,"A_english_entrance+scroll+_2018/10/31 0:2:11_17%_37","1","1","0","0",
214,"A_english_entrance+scroll+_2018/10/24 0:12:52_24%_33","1","1","0","0",
215,"A_english_entrance+scroll+_2018/10/23 0:0:42_86%_81","1","1","0","0",
216,"A_english_entrance+scroll+_2018/10/30 0:29:25_89%_64","1","1","0","0",
217,"A_english_entrance+scroll+_2018/10/24 0:12:52_66%_143","1","1","0","0",
218,"A_english_entrance+scroll+_2018/10/25 0:8:3_56%_51","1","1","0","0",
219,"A_english_entrance+scroll+_2018/10/22 0:23:7_73%_82","1","1","0","0",
220,"A_english_entrance+scroll+_2018/10/27 0:27:2_16%_20","1","1","0","0",
221,"A_english_entrance+scroll+_2018/10/24 0:9:43_21%_37","1","1","0","0",
222,"A_english_entrance+scroll+_2018/10/29 0:10:26_19%_27","1","1","0","0",
223,"A_english_entrance+scroll+_2018/10/25 0:34:2_29%_11","1","1","0","0",
224,"A_english_entrance+scroll+_2018/10/24 0:17:32_37%_20","1","1","0","0",
225,"A_english_entrance+scroll+_2018/10/28 0:37:16_100%_13","1","1","0","0",
226,"A_english_entrance+scroll+_2018/10/31 0:34:4_10%_24","1","1","0","0",
227,"A_english_entrance+scroll+_2018/10/29 0:22:28_3%_3","1","1","0","0",
228,"A_english_entrance+scroll+_2018/10/27 0:6:25_1%_2","1","1","0","0",
