序号,全部事件 (类型+操作+标签),事件总数,唯一访客事件数,事件价值,平均价值
,A_english_entrance+scroll+_2018/10/25 0:29:28_5%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:29:29_49%_49,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 1:12:18_1%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:4:46_1%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:28:0_1%_11,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:20:33_23%_33,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 1:59:38_NaN%_56,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:34:51_8%_14,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:18:37_67%_117,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:3:4_64%_34,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:3:29_45%_55,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:22:49_10%_29,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:50:44_19%_25,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:17:46_4%_7,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:15:36_48%_22,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:20:25_39%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:29:31_23%_35,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:4:20_29%_32,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:15:40_32%_25,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:40:28_27%_30,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:2:14_6%_10,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:26:16_NaN%_84,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:27:6_4%_3,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:31:51_36%_24,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:16:41_66%_38,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 1:16:17_47%_11,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:12:21_55%_39,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:10:51_90%_110,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:5:10_47%_61,1,1,0,0
