# ----------------------------------------
# 全部网站数据
# 热门事件
# 20190717-20190720
# ----------------------------------------

事件标签,事件总数,唯一身份事件数,事件价值,平均价值
2620048470948166929_2019/7/19 20:43:29_7%_12,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_-826%_76,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_10%_11,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_100%_50,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_12%_12,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_15%_14,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_16%_17,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_17%_17,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_19%_18,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_21%_19,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_22%_27,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_27%_28,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_28%_32,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_46%_35,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_47%_36,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_5%_6,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_50%_37,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_51%_38,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_57%_39,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_58%_39,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_65%_41,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_67%_43,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_76%_44,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_8%_7,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_86%_45,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_93%_47,1,1,0,0.00
2620048470961154852_2019/7/19 23:23:25_11%_9,1,1,0,0.00
2620048470961154852_2019/7/19 23:23:25_19%_14,1,1,0,0.00
2620048470961154852_2019/7/19 23:23:25_25%_18,1,1,0,0.00
2620048470961154852_2019/7/19 23:23:25_31%_19,1,1,0,0.00
2620048470961154852_2019/7/19 23:23:25_5%_5,1,1,0,0.00
2620048470961154852_2019/7/19 23:23:25_NaN%_85,1,1,0,0.00
2620048470965134818_2019/7/19 20:5:3_11%_16,1,1,0,0.00
2620048470965134818_2019/7/19 20:5:3_17%_17,1,1,0,0.00
2620048470965134818_2019/7/19 20:5:3_24%_19,1,1,0,0.00
2620048470965134818_2019/7/19 20:5:3_31%_23,1,1,0,0.00
2620048470965134818_2019/7/19 20:5:3_32%_27,1,1,0,0.00
2620048470965134818_2019/7/19 20:5:3_33%_34,1,1,0,0.00
2620048470965134818_2019/7/19 20:5:3_35%_36,1,1,0,0.00
2620048470965134818_2019/7/19 20:5:3_36%_44,1,1,0,0.00
2620048470965134818_2019/7/19 20:5:3_40%_52,1,1,0,0.00
2620048470965134818_2019/7/19 20:5:3_41%_59,1,1,0,0.00
2620048470965134818_2019/7/19 20:5:3_43%_68,1,1,0,0.00
2620048470965134818_2019/7/19 20:5:3_45%_80,1,1,0,0.00
2620048470966716939_2019/7/19 12:28:12_24%_22,1,1,0,0.00
2620048470966716939_2019/7/19 12:28:12_3%_11,1,1,0,0.00
2620048470966716939_2019/7/19 12:28:12_8%_15,1,1,0,0.00
2620048470966716939_2019/7/19 12:28:12_9%_17,1,1,0,0.00
2620048470971121302_2019/7/17 22:14:40_100%_53,1,1,0,0.00
2620048470971121302_2019/7/17 22:14:40_15%_37,1,1,0,0.00
2620048470971121302_2019/7/17 22:14:40_16%_38,1,1,0,0.00
2620048470971121302_2019/7/17 22:14:40_22%_39,1,1,0,0.00
2620048470971121302_2019/7/17 22:14:40_28%_45,1,1,0,0.00
2620048470971121302_2019/7/17 22:14:40_32%_48,1,1,0,0.00
2620048470971121302_2019/7/17 22:14:40_33%_48,1,1,0,0.00
2620048470971121302_2019/7/17 22:14:40_39%_50,1,1,0,0.00
2620048470971121302_2019/7/17 22:14:40_5%_24,1,1,0,0.00
2620048470971121302_2019/7/17 22:14:40_64%_51,1,1,0,0.00
2620048470971121302_2019/7/17 22:14:40_74%_52,1,1,0,0.00
2620048470971121302_2019/7/17 22:14:40_8%_36,1,1,0,0.00
2620048470971121302_2019/7/17 22:14:40_86%_53,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_1%_8,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_100%_91,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_11%_14,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_12%_14,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_15%_16,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_16%_18,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_21%_19,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_23%_22,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_25%_23,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_26%_24,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_27%_24,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_31%_30,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_33%_41,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_39%_52,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_4%_9,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_40%_58,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_42%_66,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_44%_67,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_45%_77,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_53%_85,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_61%_90,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_7%_10,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_8%_12,1,1,0,0.00
3123767259527804660_2019/7/19 20:5:5_9%_13,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_100%_87,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_11%_11,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_13%_17,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_16%_18,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_19%_19,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_22%_20,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_24%_21,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_26%_22,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_32%_23,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_34%_24,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_51%_27,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_53%_28,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_55%_31,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_56%_35,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_57%_37,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_58%_40,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_62%_41,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_64%_42,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_66%_44,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_68%_44,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_7%_7,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_70%_45,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_71%_46,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_72%_47,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_73%_50,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_74%_52,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_76%_53,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_79%_54,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_9%_8,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_93%_57,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_NaN%_110,1,1,0,0.00
,275,275,0,0.00

天索引,事件总数
2019/7/17,13
2019/7/18,31
2019/7/19,142
2019/7/20,89
,275
# ----------------------------------------
# 全部网站数据
# 热门事件
# 20190717-20190720
# ----------------------------------------

事件标签,事件总数,唯一身份事件数,事件价值,平均价值
2619182023906898401_2019/7/20 8:0:6_91%_78_103,1,1,0,0.00
2619580092270447046_2019/7/20 23:26:19_1%_5_24,1,1,0,0.00
2619580092277357618_2019/7/19 22:44:14_0%_0_16,1,1,0,0.00
2620048470958134382_2019/7/19 21:37:27_100%_50_73,1,1,0,0.00
2620048470961154852_2019/7/19 23:23:25_31%_19_83,1,1,0,0.00
3123767259530724450_2019/7/19 23:41:31_100%_87_108,1,1,0,0.00
,6,6,0,0.00

天索引,事件总数
2019/7/17,0
2019/7/18,0
2019/7/19,4
2019/7/20,2
,6

