# ----------------------------------------
# 全部网站数据
# 热门事件
# 20190717-20190720
# ----------------------------------------

事件标签,事件总数,唯一身份事件数,事件价值,平均价值
2618666497925080178_2019/7/20 22:52:14_4%_6,1,1,0,0.00
2618666497925080178_2019/7/20 22:52:14_54%_19,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_100%_56,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_12%_15,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_13%_18,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_14%_20,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_19%_22,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_3%_8,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_30%_25,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_32%_27,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_35%_29,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_37%_30,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_39%_33,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_43%_36,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_44%_36,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_46%_38,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_5%_9,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_53%_39,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_55%_40,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_7%_12,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_76%_50,1,1,0,0.00
2618666497926209890_2019/7/19 23:33:18_97%_54,1,1,0,0.00
2618666497926209890_2019/7/19 23:41:53_25%_6,1,1,0,0.00
2618666497926209890_2019/7/19 23:41:53_40%_7,1,1,0,0.00
2618666497926209890_2019/7/19 23:41:53_43%_8,1,1,0,0.00
2618666497926209890_2019/7/20 16:31:38_100%_39,1,1,0,0.00
2618666497926209890_2019/7/20 16:31:38_25%_5,1,1,0,0.00
2618666497926209890_2019/7/20 16:31:38_44%_6,1,1,0,0.00
2618666497926209890_2019/7/20 16:31:38_46%_6,1,1,0,0.00
2618666497926209890_2019/7/20 16:31:38_63%_21,1,1,0,0.00
2618666497926209890_2019/7/20 16:31:38_64%_22,1,1,0,0.00
2618666497926209890_2019/7/20 16:31:38_68%_24,1,1,0,0.00
2618666497926209890_2019/7/20 16:31:38_70%_25,1,1,0,0.00
2618666497926209890_2019/7/20 16:31:38_80%_31,1,1,0,0.00
2618666497926209890_2019/7/20 16:31:38_84%_32,1,1,0,0.00
2618666497926209890_2019/7/20 16:31:38_87%_33,1,1,0,0.00
2618666497926209890_2019/7/20 16:31:38_90%_36,1,1,0,0.00
2618666497926209890_2019/7/20 16:31:38_93%_36,1,1,0,0.00
2618666497926209890_2019/7/20 16:31:38_94%_37,1,1,0,0.00
2618666497926258916_2019/7/18 13:20:17_1%_7,1,1,0,0.00
2618666497926258916_2019/7/18 13:20:17_100%_21,1,1,0,0.00
2618666497926258916_2019/7/18 13:20:17_13%_12,1,1,0,0.00
2618666497926258916_2019/7/18 13:20:17_14%_12,1,1,0,0.00
2618666497926258916_2019/7/18 13:20:17_2%_8,1,1,0,0.00
2618666497926258916_2019/7/18 13:20:17_22%_13,1,1,0,0.00
2618666497926258916_2019/7/18 13:20:17_3%_9,1,1,0,0.00
2618666497926258916_2019/7/18 13:20:17_36%_14,1,1,0,0.00
2618666497926258916_2019/7/18 13:20:17_4%_10,1,1,0,0.00
2618666497926258916_2019/7/18 13:20:17_48%_15,1,1,0,0.00
2618666497926258916_2019/7/18 13:20:17_5%_11,1,1,0,0.00
2618666497926258916_2019/7/18 13:20:17_52%_16,1,1,0,0.00
2618666497926258916_2019/7/18 13:20:17_58%_17,1,1,0,0.00
2618666497926258916_2019/7/18 13:20:17_64%_18,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_100%_61,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_11%_4,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_19%_6,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_26%_8,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_30%_9,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_31%_13,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_32%_14,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_33%_15,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_38%_16,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_45%_17,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_54%_23,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_55%_24,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_62%_26,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_63%_29,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_65%_31,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_67%_33,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_69%_34,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_71%_36,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_71%_47,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_74%_49,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_76%_37,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_77%_50,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_81%_53,1,1,0,0.00
